mission,k2
ra,08:14:37.51
dec,20:10:44.93
GalLong,202.911407
GalLat,26.993822
Aliases,"2MASS J08143751+2010449,2MASS J08143751+2010449"
campaign,"5,18"
Proposals,"GO5096_LC, GO18027_LC, GO18048_LC"
objtype,STAR
u,20.523
u_err,0.064
g,17.958
g_err,0.006
r,16.675
r_err,0.005
kepmag,16.725
kepmag_err,
i,16.197
i_err,0.004
z,15.924
z_err,0.007
jmag,14.757
jmag_err,0.042
hmag,14.035
hmag_err,
kmag,13.908
kmag_err,
spec,
uem,0.064
uep,0.064
gem,0.006
gep,0.006
rem,0.005
rep,0.005
kepmagem,
kepmagep,
iem,0.004
iep,0.004
zem,0.007
zep,0.007
jmagem,0.042
jmagep,0.042
hmagem,
hmagep,
kmagem,
kmagep,
ue,0.064
ge,0.006
re,0.005
ie,0.004
ze,0.007
jmage,0.042
rho_gcm3e,100
rho_gcm3,1
