kepmag,12.962
ra,08:41:19.97
dec,20:10:49.3
teff,5881.000306305544
teffep,281.97199255138185
teffem,274.8364927569319
logg,4.310021883923963
loggep,0.0787532487955458
loggem,0.0919556408406601
lum,1.4968203369055448
lumep,0.1880822797555386
lumem,0.2115668800120558
rad,1.1552483991545854
radep,0.12878453712759486
radem,0.0886088669103473
mass,1.025295395592824
massep,0.10891436977343516
massem,0.12367041814347224
rho_gcm3,0.9121757663424811
rho_gcm3ep,0.23035377735111107
rho_gcm3em,0.24952789980738985
dis,567.3829948754914
disep,51.58999479456804
disem,37.89325656658093
source,isoclassify
rho,0.6464746749415174
rhoem,0.17684471992019124
rhoep,0.16325568912197808
